{'midi': 21, 'frequency': 27.5, 'sharp': 'A0', 'flat': 'A0', 'isBlackKey': False}
{'midi': 76, 'frequency': 659.26, 'sharp': 'E5', 'flat': 'E5', 'isBlackKey': False}
{'midi': 77, 'frequency': 698.46, 'sharp': 'F5', 'flat': 'F5', 'isBlackKey': False}
{'midi': 78, 'frequency': 739.99, 'sharp': 'F#5', 'flat': 'Gb5', 'isBlackKey': True}
{'midi': 79, 'frequency': 783.99, 'sharp': 'G5', 'flat': 'G5', 'isBlackKey': False}
{'midi': 80, 'frequency': 830.61, 'sharp': 'G#5', 'flat': 'Ab5', 'isBlackKey': True}
{'midi': 81, 'frequency': 880.0, 'sharp': 'A5', 'flat': 'A5', 'isBlackKey': False}
{'midi': 82, 'frequency': 932.33, 'sharp': 'A#5', 'flat': 'Bb5', 'isBlackKey': True}
{'midi': 83, 'frequency': 987.77, 'sharp': 'B5', 'flat': 'B5', 'isBlackKey': False}
{'midi': 84, 'frequency': 1046.5, 'sharp': 'C6', 'flat': 'C6', 'isBlackKey': False}
{'midi': 85, 'frequency': 1108.73, 'sharp': 'C#6', 'flat': 'Db6', 'isBlackKey': True}
{'midi': 86, 'frequency': 1174.66, 'sharp': 'D6', 'flat': 'D6', 'isBlackKey': False}
{'midi': 87, 'frequency': 1244.51, 'sharp': 'D#6', 'flat': 'Eb6', 'isBlackKey': True}
{'midi': 88, 'frequency': 1318.51, 'sharp': 'E6', 'flat': 'E6', 'isBlackKey': False}
{'midi': 89, 'frequency': 1396.91, 'sharp': 'F6', 'flat': 'F6', 'isBlackKey': False}
{'midi': 90, 'frequency': 1479.98, 'sharp': 'F#6', 'flat': 'Gb6', 'isBlackKey': True}
{'midi': 91, 'frequency': 1567.98, 'sharp': 'G6', 'flat': 'G6', 'isBlackKey': False}
{'midi': 92, 'frequency': 1661.22, 'sharp': 'G#6', 'flat': 'Ab6', 'isBlackKey': True}
{'midi': 93, 'frequency': 1760.0, 'sharp': 'A6', 'flat': 'A6', 'isBlackKey': False}
{'midi': 94, 'frequency': 1864.66, 'sharp': 'A#6', 'flat': 'Bb6', 'isBlackKey': True}
{'midi': 95, 'frequency': 1975.53, 'sharp': 'B6', 'flat': 'B6', 'isBlackKey': False}
{'midi': 96, 'frequency': 2093.0, 'sharp': 'C7', 'flat': 'C7', 'isBlackKey': False}
{'midi': 97, 'frequency': 2217.46, 'sharp': 'C#7', 'flat': 'Db7', 'isBlackKey': True}
{'midi': 98, 'frequency': 2349.32, 'sharp': 'D7', 'flat': 'D7', 'isBlackKey': False}
{'midi': 99, 'frequency': 2489.02, 'sharp': 'D#7', 'flat': 'Eb7', 'isBlackKey': True}
{'midi': 100, 'frequency': 2637.02, 'sharp': 'E7', 'flat': 'E7', 'isBlackKey': False}
{'midi': 101, 'frequency': 2793.83, 'sharp': 'F7', 'flat': 'F7', 'isBlackKey': False}
{'midi': 102, 'frequency': 2959.96, 'sharp': 'F#7', 'flat': 'Gb7', 'isBlackKey': True}
{'midi': 103, 'frequency': 3135.96, 'sharp': 'G7', 'flat': 'G7', 'isBlackKey': False}
{'midi': 104, 'frequency': 3322.44, 'sharp': 'G#7', 'flat': 'Ab7', 'isBlackKey': True}
{'midi': 105, 'frequency': 3520.0, 'sharp': 'A7', 'flat': 'A7', 'isBlackKey': False}
{'midi': 106, 'frequency': 3729.31, 'sharp': 'A#7', 'flat': 'Bb7', 'isBlackKey': True}
{'midi': 107, 'frequency': 3951.07, 'sharp': 'B7', 'flat': 'B7', 'isBlackKey': False}
{'midi': 108, 'frequency': 4186.01, 'sharp': 'C8', 'flat': 'C8', 'isBlackKey': False}
{'midi': 109, 'frequency': 4434.92, 'sharp': 'C#8', 'flat': 'Db8', 'isBlackKey': True}
{'midi': 110, 'frequency': 4698.64, 'sharp': 'D8', 'flat': 'D8', 'isBlackKey': False}
{'midi': 111, 'frequency': 4978.03, 'sharp': 'D#8', 'flat': 'Eb8', 'isBlackKey': True}
{'midi': 112, 'frequency': 5274.04, 'sharp': 'E8', 'flat': 'E8', 'isBlackKey': False}
{'midi': 113, 'frequency': 5587.65, 'sharp': 'F8', 'flat': 'F8', 'isBlackKey': False}
{'midi': 114, 'frequency': 5919.91, 'sharp': 'F#8', 'flat': 'Gb8', 'isBlackKey': True}
{'midi': 115, 'frequency': 6271.93, 'sharp': 'G8', 'flat': 'G8', 'isBlackKey': False}
{'midi': 116, 'frequency': 6644.88, 'sharp': 'G#8', 'flat': 'Ab8', 'isBlackKey': True}
{'midi': 117, 'frequency': 7040.0, 'sharp': 'A8', 'flat': 'A8', 'isBlackKey': False}
{'midi': 118, 'frequency': 7458.62, 'sharp': 'A#8', 'flat': 'Bb8', 'isBlackKey': True}
{'midi': 119, 'frequency': 7902.13, 'sharp': 'B8', 'flat': 'B8', 'isBlackKey': False}
{'midi': 120, 'frequency': 8372.02, 'sharp': 'C9', 'flat': 'C9', 'isBlackKey': False}
{'midi': 121, 'frequency': 8869.84, 'sharp': 'C#9', 'flat': 'Db9', 'isBlackKey': True}
{'midi': 122, 'frequency': 9397.27, 'sharp': 'D9', 'flat': 'D9', 'isBlackKey': False}
{'midi': 123, 'frequency': 9956.06, 'sharp': 'D#9', 'flat': 'Eb9', 'isBlackKey': True}
{'midi': 124, 'frequency': 10548.08, 'sharp': 'E9', 'flat': 'E9', 'isBlackKey': False}
{'midi': 125, 'frequency': 11175.3, 'sharp': 'F9', 'flat': 'F9', 'isBlackKey': False}
{'midi': 126, 'frequency': 11839.82, 'sharp': 'F#9', 'flat': 'Gb9', 'isBlackKey': True}
{'midi': 127, 'frequency': 12543.85, 'sharp': 'G9', 'flat': 'G9', 'isBlackKey': False}
